id,description,mfg,mfg_id,category_id
100000,IGBT NPT 1700 75A,IXYS,IXGT32N170,2
100001,IGBT W/DIODE 1200V 60A,International Rectifier,IRGP30B120KD-E,2
100002,IGBTs 300V 120A PDP IGBT,Fairchild Semiconductor,FGPF120N30TU,2
100003,.01uF 100V ±5% CERAM X7R,Kemet,C1206C103J1RACTU,3
100004,.01uF 630V ±10% CERAM X7R,Panasonic - ECG,ECJ-3FB2J103K,3
100005,.022uF 2000V ±5% FILM METAL POLYPRO,EPCOS Inc,B32672L8223J000,3
100006,.047uF 50V ±10% CERAM X7R,Panasonic - ECG,ECJ-1VB1H473K,3
100007,.15uF 3000V POLY FILM AXL,Cornell Dubilier Electronics,940C30P15K-F,3
100008,.1uF 100V ±10% CER X7R,Kemet,C1206C104K1RACTU,3
100009,.1uF 1600VDC POLY FILM AXIAL,Cornell Dubilier Electronics,940C16P1K-F,3
100010,.1uF 50V ±10% X7R,AVX Corporation,ECJ-1VB1H104K,3
100011,.1uF 630V ±5% POLY,Panasonic - ECG,ECW-F6104JL,3
100012,.22uF 250V METAL POLY,EPCOS Inc,B32529D3224J,3
100013,.27uF 100V ±10% X7R,Kemet,C1206C274K1RACTU,3
100014,.33uF 2000V POLY FILM AXL,Cornell Dubilier Electronics,940C20P33K-F,3
100015,.33uF 50V ±10% CERAM X7R,Murata Electronics,GRM319R71H334KA01D,3
100016,.39uF 50V CERAM X7R,Kemet,C1206C394K5RACTU,3
100017,.47uF 16V ±10% CERAM X7R,TDK Corporation,C2012X7R1C474K,3
100018,.47uF 2000V POLY FILM AXL,Cornell Dubilier Electronics,940C20P47K-F,3
100019,.68uF 250V METAL POLYPRO,EPCOS Inc,B32652A3684J,3
100020,1uF 25V ±10% CERAM X7R,Kemet,C1206C105K3RACTU,3
100021,.022uF 100V ±10% X7R,AVX Corporation,12061C223KAT2A,3
100022,10000pF 100V ±10% CERAM X7R,TDK Corporation,C2012X7R2A103K,3
100023,"10000pF 2000V -20%, +50% CERAM DISC RAD",AVX Corporation,68S103SCHCK,3
100024,10000pF 500V ±5% MICA RADIAL,Cornell Dubilier Electronics,CD30FD103J03,3
100025,10000uF 80V ±20% ELECT TUP SERIES,Cornell Dubilier Electronics,382LX103M080N052,3
100026,1000pF 1000V ±10% X7R,Kemet,C1206C102KDRACTU,3
100027,1000pF 100V ±1% NP0,AVX Corporation,12061A102FAT2A,3
